id,item
0,Adjustment
1,Afternoon with the baker
2,Alfajores
3,Argentina Night
4,Art Tray
5,Bacon
6,Baguette
7,Bakewell
8,Bare Popcorn
9,Basket
10,Bowl Nic Pitt
11,Bread
12,Bread Pudding
13,Brioche and salami
14,Brownie
15,Cake
16,Caramel bites
17,Cherry me Dried fruit
18,Chicken Stew
19,Chicken sand
20,Chimichurri Oil
21,Chocolates
22,Christmas common
23,Coffee
24,Coffee granules 
25,Coke
26,Cookies
27,Crepes
28,Crisps
29,Drinking chocolate spoons 
30,Duck egg
31,Dulce de Leche
32,Eggs
33,Ella's Kitchen Pouches
34,Empanadas
35,Extra Salami or Feta
36,Fairy Doors
37,Farm House
38,Focaccia
39,Frittata
40,Fudge
41,Gift voucher
42,Gingerbread syrup
43,Granola
44,Hack the stack
45,Half slice Monster 
46,Hearty & Seasonal
47,Honey
48,Hot chocolate
49,Jam
50,Jammie Dodgers
51,Juice
52,Keeping It Local
53,Kids biscuit
54,Lemon and coconut
55,Medialuna
56,Mighty Protein
57,Mineral water
58,Mortimer
59,Muesli
60,Muffin
61,My-5 Fruit Shoot
62,NONE
63,Nomad bag
64,Olum & polenta
65,Panatone
66,Pastry
67,Pick and Mix Bowls
68,Pintxos
69,Polenta
70,Postcard
71,Raspberry shortbread sandwich
72,Raw bars
73,Salad
74,Sandwich
75,Scandinavian
76,Scone
77,Siblings
78,Smoothies
79,Soup
80,Spanish Brunch
81,Spread
82,Tacos/Fajita
83,Tartine
84,Tea
85,The BART
86,The Nomad
87,Tiffin
88,Toast
89,Truffles
90,Tshirt
91,Valentine's card
92,Vegan Feast
93,Vegan mincepie
94,Victorian Sponge
